City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain inches (last 3 hours),Snow inches (last 3 hours)
178,Krasnyye Barrikady,RU,2021-10-30 14:41:26,46.2045,47.8535,53.56,58,0,4.47,clear sky,0,0
179,Mugur-Aksy,RU,2021-10-30 14:41:26,50.35,90.5,15.6,83,95,6.13,overcast clouds,0,0
180,Marzuq,YE,2021-10-30 14:36:22,14.4,46.4667,78.42,42,99,6.4,overcast clouds,0,0
181,Buala,SB,2021-10-30 14:36:12,-8.145,159.5921,80.65,83,95,8.72,light rain,0,0
182,Wewak,PG,2021-10-30 14:36:40,-3.5534,143.6268,81.25,82,87,5.08,overcast clouds,0,0
183,Constitucion,CL,2021-10-30 14:36:24,-35.3333,-72.4167,64.71,58,100,12.21,overcast clouds,0,0
184,Salalah,OM,2021-10-30 14:31:34,17.0151,54.0924,84.29,65,20,5.75,few clouds,0,0
185,Komsomolskiy,UZ,2021-10-30 14:41:27,40.4272,71.7189,49.42,43,0,4.61,clear sky,0,0
186,Hay River,CA,2021-10-30 14:41:27,60.8156,-115.7999,26.58,93,75,10.36,broken clouds,0,0
187,Nanortalik,GL,2021-10-30 14:36:37,60.1432,-45.2371,35.11,72,60,4.68,broken clouds,0,0
188,Yulara,AU,2021-10-30 14:36:42,-25.2406,130.9889,57.04,100,90,11.5,overcast clouds,0,0
189,Helena,US,2021-10-30 14:41:27,46.5927,-112.0361,36.32,79,1,1.01,clear sky,0,0
190,Bogovarovo,RU,2021-10-30 14:41:27,58.9785,47.0246,43.38,92,100,7.4,overcast clouds,0,0
191,Hasaki,JP,2021-10-30 14:36:29,35.7333,140.8333,59.4,57,51,8.1,broken clouds,0,0
192,China,MX,2021-10-30 14:41:28,25.7,-99.2333,73.09,28,0,6.06,clear sky,0,0
193,Chipurupalle,IN,2021-10-30 14:41:28,18.3,83.5667,75.96,87,74,1.74,broken clouds,0,0
194,Mehamn,NO,2021-10-30 14:41:28,71.0357,27.8492,39.25,81,87,6.8,overcast clouds,0,0
195,Valparaiso,CL,2021-10-30 14:39:36,-33.0393,-71.6273,62.83,82,75,5.75,haze,0,0
196,Luganville,VU,2021-10-30 14:41:28,-15.5333,167.1667,78.57,79,6,5.1,clear sky,0,0
197,Gazanjyk,TM,2021-10-30 14:41:28,39.2446,55.5154,60.17,40,100,8.28,overcast clouds,0,0
198,Omboue,GA,2021-10-30 14:41:29,-1.5746,9.2618,78.46,87,100,10.09,light rain,0,0
199,Broken Hill,AU,2021-10-30 14:41:29,-31.95,141.4333,53.31,30,79,3.44,broken clouds,0,0
200,Makakilo City,US,2021-10-30 14:41:29,21.3469,-158.0858,71.29,83,1,3.44,clear sky,0,0
201,Kaili,ID,2021-10-30 14:41:29,-3.4626,120.2147,66.99,96,100,3.33,heavy intensity rain,0,0
202,Barranca,PE,2021-10-30 14:41:29,-10.75,-77.7667,65.03,78,81,6.42,broken clouds,0,0
203,Pangody,RU,2021-10-30 14:41:29,65.85,74.4859,14.27,93,100,16.78,light snow,0,0
204,Leningradskiy,RU,2021-10-30 14:41:29,69.3833,178.4167,-7.26,97,100,5.97,overcast clouds,0,0
205,Ridgecrest,US,2021-10-30 14:41:30,35.6225,-117.6709,59.65,47,1,1.01,clear sky,0,0
206,Poshekhonye,RU,2021-10-30 14:41:30,58.4993,39.1353,45.03,91,30,7.96,scattered clouds,0,0
207,Asfi,MA,2021-10-30 14:41:30,32.2994,-9.2372,68.79,75,11,8.1,few clouds,0,0
208,Severo-Kurilsk,RU,2021-10-30 14:36:16,50.6789,156.125,39.58,83,10,15.88,clear sky,0,0
209,Bredasdorp,ZA,2021-10-30 14:36:18,-34.5322,20.0403,74.28,60,28,10.36,scattered clouds,0,0
210,Kapoeta,SS,2021-10-30 14:41:30,4.7717,33.5903,90.01,31,66,17.6,broken clouds,0,0
211,Eupen,BE,2021-10-30 14:41:30,50.6295,6.0382,57.13,91,100,17.38,overcast clouds,0,0
212,Gwembe,ZM,2021-10-30 14:41:30,-16.4975,27.6069,86.49,25,66,8.21,broken clouds,0,0
213,Kamloops,CA,2021-10-30 14:41:31,50.6665,-120.3192,25.79,86,1,1.99,clear sky,0,0
